,펀드명,운용규모,샤프지수,소르티노지수,위험등급,KOSPI 소르티노지수
0,미래에셋3억만들기솔로몬증권투자신탁1호(주식),548219,,2.4140771236083713,,3.900988886438041
1,미래에셋3억만들기인디펜던스증권투자신탁K-1호(주식),26270,,3.44203776722258,,3.949774635806997
2,미래에셋5대그룹대표주증권자투자신탁1호(주식),4546,,3.06422070729138,,3.8849945956306278
3,미래에셋5대그룹대표주증권자투자신탁2호(주식),1752,,2.9057654806724633,,3.900988886438041
4,미래에셋KRX300인덱스증권투자신탁(주식-파생형),6067,,3.989547234741758,,3.7701476224149784
5,미래에셋가치주포커스연금저축증권전환형자투자신탁1호(주식),13349,,1.6537862228815592,,3.7726918206451585
6,미래에셋가치주포커스증권자투자신탁1호(주식),2454,,15.75478921203048,,3.3493907035344974
7,미래에셋개인연금고배당포커스증권전환형자투자신탁1호(주식),8077,,-0.6953858087252756,,3.467449551330895
8,미래에셋개인연금소비성장증권전환형자투자신탁1호(주식),2587,,-1.1704553035643126,,3.5143959520532357
9,미래에셋개인연금증권전환형자투자신탁1호(주식),30736,,-1.51069996583581,,3.7701476224149784
10,미래에셋고배당포커스연금저축증권전환형자투자신탁1호(주식),24381,,-1.4447688031312291,,3.467449551330895
11,미래에셋고배당포커스증권자투자신탁1호(주식),1971,,7.381128777691161,,3.6904160076722987
12,미래에셋그린뉴딜인덱스증권자투자신탁(주식),24360,,7.897729998552897,,3.869864500302932
13,미래에셋드림타겟증권투자회사(주식),8162,,-1.700945294042921,,3.949774635806997
14,미래에셋디스커버리증권자투자신탁3호(주식),171,,3.2595714638611377,,3.949774635806997
15,미래에셋디스커버리증권투자신탁2호(주식),2655,,3.247886987211581,,3.949774635806997
16,미래에셋디스커버리증권투자신탁4호(주식),41497,,4.469054053604194,,3.900988886438041
17,미래에셋디스커버리증권투자신탁5호(주식),3958,,4.136370893798919,,3.900988886438041
18,미래에셋디스커버리증권투자회사(주식),30318,,-0.008066543562101828,,3.6802903140103793
19,미래에셋디스커버리플러스증권자투자신탁1호(주식),2829,,1.1363157627970564,,4.120776235814326
20,미래에셋라이프사이클2030연금증권전환형자투자신탁1호(주식),39275,,-0.5848275438121608,,3.7701476224149784
21,미래에셋라이프사이클2030증권전환형자투자신탁1호(주식),14440,,3.545897950322732,,3.7701476224149784
22,미래에셋마켓플러스증권자투자신탁(주식),4305,,4.711837380820118,,3.8581433745800475
23,미래에셋마켓플러스증권자투자신탁2호(주식),29058,,5.045625125803991,,3.971749188586495
24,미래에셋성장유망중소형주연금저축증권전환형자투자신탁1호(주식),11295,,4.044268341741801,,3.951389234089431
25,미래에셋성장유망중소형주증권자투자신탁1호(주식),5432,,10.534385555412387,,3.9519172007946284
26,미래에셋소득공제장기가치주포커스증권전환형자투자신탁1호(주식),40986,,3.45868985464358,,3.5462971740392932
27,미래에셋소득공제장기성장유망중소형주증권전환형자투자신탁1호(주식),16989,,6.531995439220816,,3.9519172007946284
28,미래에셋소득공제장기스마트롱숏70증권전환형자투자신탁1호(주식),23568,,2.447827906439669,,5.608831272350863
29,미래에셋소비성장연금증권전환형자투자신탁1호(주식),25360,,-1.7051574655799846,,3.949774635806997
30,미래에셋솔로몬성장증권투자신탁1호(주식),5584,,3.2995885507497307,,3.949774635806997
31,미래에셋솔로몬증권투자신탁1호(주식),13818,,3.393575519705899,,3.949774635806997
32,미래에셋스마트롱숏70증권자투자신탁1호(주식),43050,,24.78100970147923,,5.451019226801915
33,미래에셋스마트섹터배분증권자투자신탁1호(주식),45485,,6.332380175966478,,3.7034573615971564
34,미래에셋연금한국헬스케어증권자투자신탁1호(주식),23839,,0.7952604019877073,,4.290647933454704
35,미래에셋우리아이3억만들기증권자투자신탁G1호(주식),13935,,1.7062278473529842,,3.4097055419228264
36,미래에셋인덱스플러스연금증권전환형자투자신탁1호(주식),139922,,-2.768705967565329,,3.7701476224149784
37,미래에셋인덱스헤지증권자투자회사(주식),41642,,5.315164378100946,,5.474118557160588
38,미래에셋인디펜던스증권자투자신탁2호(주식),4383,,3.301828810126624,,3.949774635806997
39,미래에셋인디펜던스증권자투자신탁4호(주식),20591,,4.4296871758640775,,3.949774635806997
40,미래에셋인디펜던스증권투자신탁3호(주식),2609,,3.5765978753420407,,3.949774635806997
41,미래에셋인디펜던스증권투자신탁K-2호(주식),87025,,3.4569868758951783,,3.949774635806997
42,미래에셋인디펜던스증권투자신탁K-3호(주식),6136,,3.343605077730849,,3.949774635806997
43,미래에셋인디펜던스증권투자회사(주식),186027,,-1.2210337875909396,,3.949774635806997
44,미래에셋장기성장포커스증권자투자신탁1호(주식),10024,,5.356081593347886,,3.407817076139783
45,미래에셋장기성장포커스증권자투자신탁2호(주식),11454,,4.050325240303349,,3.3614799176814016
46,미래에셋장기성장포커스증권자투자신탁3호(주식),6575,,3.9752442815125906,,3.3614799176814016
47,미래에셋장기성장포커스증권자투자신탁4호(주식),217266,,7.59564764205605,,3.416377659099079
48,미래에셋장기주택마련증권자투자신탁1호(주식),166265,,3.682839606957001,,3.7701476224149784
49,미래에셋좋은기업ESG증권자투자신탁(주식),65344,,5.170903070548784,,3.850319195179601
50,미래에셋코리아그레이트컨슈머증권자투자신탁1호(주식),6002,,1.7533689167665296,,3.5143959520532357
51,미래에셋코스닥혁신성장증권자투자신탁(주식),914,,15.470842478523174,,2.6706788836766773
52,미래에셋코스피200인덱스증권자투자신탁1호(주식),9215,,5.13148697349329,,3.7701476224149784
53,미래에셋코어테크증권자투자신탁(주식),7463,,9.277861130555568,,5.814654598471749
54,미래에셋클린테크증권자투자신탁(주식),7468,,-4.43452438850942,,-7.28051283647216
55,미래에셋퇴직연금가치주포커스증권자투자신탁1호(주식),43450,,3.0607895936019847,,3.3493907035344974
56,미래에셋퇴직연금고배당포커스증권자투자신탁1호(주식),14521,,-1.3288353381962037,,3.467449551330895
57,미래에셋퇴직연금성장유망중소형주증권자투자신탁1호(주식),3437,,4.117869231718664,,3.6836918614943475
58,미래에셋퇴직연금소비성장증권자투자신탁1호(주식),656,,-1.4855114725239482,,3.5143959520532357
59,미래에셋퇴직연금솔로몬증권자투자신탁2호(주식),31477,,1.8792028508567349,,3.667323380953408
60,미래에셋퇴직플랜KRX100인덱스증권자투자신탁1호(주식),1957,,-0.07583546202281562,,3.519112749333006
61,미래에셋퇴직플랜증권자투자신탁1호(주식),42799,,1.7699523190154531,,3.667323380953408
62,미래에셋한국헬스케어증권자투자신탁1호(주식),548219,,8.189705129356133,,4.448618508338959
